name, movie, percent of dialogue, percent of fanworks (literal), percent of fanworks (including sub tags), age, gender,  year, script ID, imdb ID, movie words, gross, AO3 works in closest fandom (literal), AO3 works in closest fandom (including fandom subtags), AO3 closest fandom,title similarity
mama lucas,American Gangster,0.0191392853192,-1,-1,85,f,2007,665,tt0765429,9039,164,-1,0,,0
moses jones,American Gangster,0.0113950658259,-1,-1,38,m,2007,665,tt0765429,9039,164,-1,0,,0
mp,American Gangster,0.0185861267839,-1,-1,40,m,2007,665,tt0765429,9039,164,-1,0,,0
nate,American Gangster,0.0193605487333,-1,-1,48,m,2007,665,tt0765429,9039,164,-1,0,,0
richie roberts,American Gangster,0.245270494524,-1,-1,43,m,2007,665,tt0765429,9039,164,-1,0,,0
sheila,American Gangster,0.0247815023786,-1,-1,None,f,2007,665,tt0765429,9039,164,-1,0,,0
tango,American Gangster,0.0154884389866,-1,-1,35,m,2007,665,tt0765429,9039,164,-1,0,,0
teddy,American Gangster,0.0225688682376,-1,-1,None,m,2007,665,tt0765429,9039,164,-1,0,,0
tony,American Gangster,0.0288748755393,-1,-1,None,m,2007,665,tt0765429,9039,164,-1,0,,0
us attorney,American Gangster,0.0245602389645,-1,-1,45,m,2007,665,tt0765429,9039,164,-1,0,,0
bob falfa,American Graffiti,0.0251164674904,-1,-1,31,m,1973,666,tt0069704,9874,565,-1,0,,0
budda,American Graffiti,0.0228883937614,-1,-1,22,f,1973,666,tt0069704,9874,565,-1,0,,0
carlos,American Graffiti,0.0132671662953,-1,-1,18,m,1973,666,tt0069704,9874,565,-1,0,,0
carol,American Graffiti,0.0738302612923,-1,-1,14,f,1973,666,tt0069704,9874,565,-1,0,,0
curt,American Graffiti,0.125582337452,-1,-1,26,m,1973,666,tt0069704,9874,565,-1,0,,0
debbie,American Graffiti,0.0744379177638,-1,-1,26,f,1973,666,tt0069704,9874,565,-1,0,,0
disc jockey,American Graffiti,0.0629937208831,-1,-1,35,m,1973,666,tt0069704,9874,565,-1,0,,0
girl,American Graffiti,0.0110390925663,-1,-1,None,f,1973,666,tt0069704,9874,565,-1,0,,0
joe,American Graffiti,0.0566133279319,-1,-1,35,m,1973,666,tt0069704,9874,565,-1,0,,0
john,American Graffiti,0.149078387685,-1,-1,28,m,1973,666,tt0069704,9874,565,-1,0,,0
laurie,American Graffiti,0.0650192424549,-1,-1,26,f,1973,666,tt0069704,9874,565,-1,0,,0
manager,American Graffiti,0.0337249341705,-1,-1,None,m,1973,666,tt0069704,9874,565,-1,0,,0
mr. wolfe,American Graffiti,0.0159003443387,-1,-1,31,m,1973,666,tt0069704,9874,565,-1,0,,0
steve,American Graffiti,0.0900344338667,-1,-1,19,m,1973,666,tt0069704,9874,565,-1,0,,0
