name, movie, percent of dialogue, percent of fanworks, age, gender,  year, script ID, imdb ID, movie words, gross, AO3 works, AO3 fandom, title distance
hadden suit,Contact,0.0640217946535,0.0,None,m,1997,821,tt0118884,11746,191,0,,1
jean-claude,Contact,0.0207730291163,0.00037397157816,None,m,1997,821,tt0118884,11746,191,2,Assassin's Creed - All Media Types,0.00286944045911
kent,Contact,0.0242635790908,0.00280426247897,41,m,1997,821,tt0118884,11746,191,25,Fire Emblem Series,0.0
kob-tv reporter,Contact,0.0223906010557,0.0,None,m,1997,821,tt0118884,11746,191,0,,1
lunacharsky,Contact,0.00953516090584,0.0,None,m,1997,821,tt0118884,11746,191,0,,1
michael kitz,Contact,0.0547420398434,0.0,50,m,1997,821,tt0118884,11746,191,0,,1
palmer joss,Contact,0.126596288098,0.5,28,m,1997,821,tt0118884,11746,191,1,Contact - Carl Sagan,0.0259259259259
peter,Contact,0.0684488336455,0.0166554418823,None,m,1997,821,tt0118884,11746,191,1558,The Avengers (Marvel) - All Media Types,0.00222965440357
project officia,Contact,0.00996083773199,0.0,61,m,1997,821,tt0118884,11746,191,0,,1
ted arroway,Contact,0.048356887451,0.0,44,m,1997,821,tt0118884,11746,191,0,,1
anthony fait,Cradle 2 the Grave,0.277195121951,0.0,33,m,2003,822,tt0306685,8200,49,0,,1
archie,Cradle 2 the Grave,0.11987804878,0.282894736842,44,m,2003,822,tt0306685,8200,49,172,Pocket Monsters: Ruby & Sapphire & Emerald | Pokemon Ruby Sapphire Emerald Versions,0.0028629368961
chambers's club,Cradle 2 the Grave,0.0621951219512,0.0,40,m,2003,822,tt0306685,8200,49,0,,1
charles,Cradle 2 the Grave,0.0451219512195,0.588730911006,None,m,2003,822,tt0306685,8200,49,1118,Numb3rs,0.00444444444444
daria,Cradle 2 the Grave,0.0609756097561,0.00022408461435,31,f,2003,822,tt0306685,8200,49,5,DCU (Comics),0.00740740740741
douglas,Cradle 2 the Grave,0.0185365853659,0.000169298860861,None,m,2003,822,tt0306685,8200,49,21,Harry Potter - J. K. Rowling,0.00776397515528
ling,Cradle 2 the Grave,0.0646341463415,0.117647058824,39,m,2003,822,tt0306685,8200,49,30,Shin Sangokumusou | Dynasty Warriors,0.00617283950617
miles,Cradle 2 the Grave,0.0303658536585,0.0,24,m,2003,822,tt0306685,8200,49,2477,逆転裁判 | Gyakuten Saiban | Ace Attorney,0.00564373897707
odion,Cradle 2 the Grave,0.0210975609756,0.0239457512185,41,m,2003,822,tt0306685,8200,49,113,Yu-Gi-Oh!,0.00411522633745
russell,Cradle 2 the Grave,0.024756097561,0.0911458333333,None,m,2003,822,tt0306685,8200,49,35,Transformers: Robots in Disguise (2015),0.00629779577148
sona,Cradle 2 the Grave,0.0332926829268,0.0,35,f,2003,822,tt0306685,8200,49,0,,1
su,Cradle 2 the Grave,0.111585365854,7.87525594582e-05,40,m,2003,822,tt0306685,8200,49,1,Percy Jackson and the Olympians & Related Fandoms - All Media Types,0.00386303775241
tommy,Cradle 2 the Grave,0.102317073171,0.385176651306,33,m,2003,822,tt0306685,8200,49,1003,Young Avengers (Comics),0.00636267232238
vanessa,Cradle 2 the Grave,0.0280487804878,0.0820045558087,11,f,2003,822,tt0306685,8200,49,72,Gossip Girl,0.0114942528736
agent hadley,Crime Spree,0.0982002249719,0.0,None,m,2003,830,tt0310924,8890,None,0,,1
bastaldi,Crime Spree,0.0407199100112,0.0,61,m,2003,830,tt0310924,8890,None,0,,1
bonanno,Crime Spree,0.0362204724409,0.0,None,m,2003,830,tt0310924,8890,None,0,,1
daniel foray,Crime Spree,0.139707536558,0.0,55,m,2003,830,tt0310924,8890,None,0,,1
ellwood,Crime Spree,0.0130483689539,0.0,None,m,2003,830,tt0310924,8890,None,0,,1
frankie zammeti,Crime Spree,0.130146231721,0.0,64,m,2003,830,tt0310924,8890,None,0,,1
julien labesse,Crime Spree,0.0646794150731,0.0,43,m,2003,830,tt0310924,8890,None,0,,1
lamar,Crime Spree,0.0426321709786,0.000511770726714,None,m,2003,830,tt0310924,8890,None,1,Zootopia (2016),0.0102564102564
marcel burot,Crime Spree,0.0654668166479,0.0,60,m,2003,830,tt0310924,8890,None,0,,1
raphael,Crime Spree,0.0229471316085,0.337537840565,None,m,2003,830,tt0310924,8890,None,1338,Teenage Mutant Ninja Turtles - All Media Types,0.00381388253242
raymond gayet,Crime Spree,0.0822272215973,0.0,None,m,2003,830,tt0310924,8890,None,0,,1
sami,Crime Spree,0.162654668166,0.0,30,m,2003,830,tt0310924,8890,None,8,新日本プロレス | New Japan Pro-Wrestling,0.00366837857667
sophie nicols,Crime Spree,0.0458942632171,0.0,25,f,2003,830,tt0310924,8890,None,0,,1
vinny,Crime Spree,0.0114735658043,0.0,None,m,2003,830,tt0310924,8890,None,4,トモダチコレクション 新生活 | Tomodachi Life,0.0015479876161
wayne,Crime Spree,0.0173228346457,0.549825174825,28,m,2003,830,tt0310924,8890,None,629,Justice League & Justice League Unlimited (Cartoons),0.0030525030525
zero,Crime Spree,0.026659167604,0.00705815923207,51,m,2003,830,tt0310924,8890,None,25,Fire Emblem: Kakusei | Fire Emblem: Awakening,0.00555555555556
ashe corven,The Crow: City of Angels,0.342012667136,0.0,32,m,1996,832,tt0115986,2842,35,0,,1
curve,The Crow: City of Angels,0.142857142857,0.0,49,m,1996,832,tt0115986,2842,35,0,,1
judah earl,The Crow: City of Angels,0.22554539057,0.0,34,m,1996,832,tt0115986,2842,35,0,,1
sarah,The Crow: City of Angels,0.217100633357,0.460999123576,21,f,1996,832,tt0115986,2842,35,526,Chuck (TV),0.00490196078431
sibyl,The Crow: City of Angels,0.0724841660802,0.133333333333,None,f,1996,832,tt0115986,2842,35,2,Dorian Gray (2009),0.00793650793651
chico,Day of the Dead,0.0302283555117,0.00186567164179,None,m,1985,844,tt0088993,6087,None,1,The Magnificent Seven (2016),0.00830564784053
gasparilla,Day of the Dead,0.107113520618,0.0,None,m,1985,844,tt0088993,6087,None,0,,1
john,Day of the Dead,0.232626909808,0.748213845775,38,m,1985,844,tt0088993,6087,None,3037,Sherlock Holmes - Arthur Conan Doyle,0.00871459694989
logan,Day of the Dead,0.0606209955643,0.109269307961,53,m,1985,844,tt0088993,6087,None,1470,X-Men (Alternate Timeline Movies),0.00631313131313
